Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microVoSTN_L_1-3+,1,0.8490116047125645,1179.1110362130178,799.3139200000223,1364.0417173921637,365.69088,398905.22112,398539.53024,0.0,1.9566715767754161
microVoSTN_L_1-3+,2,0.8214625555920978,1211.3730857492355,649.2569599999697,1488.6721167323972,2363.88352,398482.88256,396118.99904,0.0,1.465267056849017
microVoSTN_L_1-3+,3,4.698365104545047,212.67622570666666,141.0662400000001,233.81960077226216,232.98048,399000.90368,398767.92319999996,0.0,2.725578648402691
microVoSTN_L_1-3+,4,2.9677839279775484,336.7550616216216,224.1945600000181,357.26414696961405,510.73024,399228.7232,398717.99296,0.0,2.0016736125581773
microVoSTN_L_2-3+,0,1.9184156023888626,519.3920752941176,324.7308800000028,603.3587589514763,804.49536,398139.43296,397334.9376,0.0,1.5322944237951899
microVoSTN_L_2-3+,1,1.0894396697639102,918.3912464516129,496.5375999999993,1210.5572888380755,216.59648,398798.39744,398581.80095999996,0.0,1.3489987349313106
microVoSTN_L_2-3+,2,1.537737832724232,647.2598760195758,411.3203199999989,707.1936467108338,1208.23808,397978.54208,396770.304,0.0,1.7846061586625865
microVoSTN_L_4-5+,1,1.3123365217385954,755.5931925047801,435.6505599999946,925.9818177088255,1326.6944,396501.93408,395175.23968,0.0,1.3896537228233485
microVoSTN_L_4-5+,3,1.0769173747091527,921.6073517948718,542.3513600000006,1189.5104205685118,189.35808,395558.912,395369.55392000003,0.0,1.6361230715328123
microVoSTN_L_4-6+,0,1.818237241950802,549.3397009655172,336.5273600000073,608.0543323153914,189.35808,398460.64128,398271.2832,0.0,1.6059376404478745
microVoSTN_L_4-6+,4,1.6429251111841956,602.676810259542,365.8956799999578,692.610655257898,1216.7168,395970.02752,394753.31072,0.0,1.4298350447464592
microVoSTN_L_5-6+,1,0.8815695718549342,1107.0999047293446,479.5187200000073,2040.462845315668,229.376,388821.44256,388592.06656,0.0,1.2960136356520235
microVoSTN_L_7-8+,0,3.017873108196579,331.4307657142857,195.23584000000847,388.27977809927273,240.31232,399282.95424,399042.64191999997,0.0,1.7429659890529017
microVoSTN_L_7-8+,1,1.1069708828405709,898.6113160997733,598.6713599999784,1037.2278685407484,1244.11904,397531.70944,396287.5904,0.0,1.3450479002723454
microVoSTN_R_1-2+,1,3.558836254562107,281.0217428732394,187.57632000000467,283.0774404090837,100.72064,399151.59552,399050.87487999996,0.0,1.6559334007607907
microVoSTN_R_1-2+,2,1.562782422833747,635.7670502728732,434.91327999997884,661.8946584680566,2725.23264,398808.10496,396082.87232,0.0,1.6028473459227084
microVoSTN_R_1-2+,4,2.118772323264984,472.0120850177515,299.7043200000189,498.147796136536,243.0976,399093.30944,398850.21184,0.0,1.4266769549892717
microVoSTN_R_1-3+,0,4.886199530366411,204.56133973333334,118.8044799999916,258.1747481095605,160.5632,399055.17568,398894.61248,0.0,1.8114102569647788
microVoSTN_R_1-3+,1,2.228968519746851,447.5666487289089,309.1251199999824,451.48864418352207,365.48608,398252.2368,397886.75072,0.0,1.6796559662119737
microVoSTN_R_1-3+,2,2.8475698954518758,351.1892011267605,204.79999999999563,432.82164220843543,219.38176,399170.31424,398950.93247999996,0.0,1.6954814988230364
microVoSTN_R_1-3+,4,2.637195338531948,378.3565530038022,253.91104000000632,396.8789624763754,95.0272,398126.12096,398031.09375999996,0.0,1.6858188071806042
microVoSTN_R_2-3+,0,1.745607930633208,567.415172413793,309.55520000001707,725.7837821506503,2750.58688,397671.54688,394920.95999999996,0.0,2.1217538304859405
microVoSTN_R_2-3+,1,11.297614598402296,88.49767648780488,52.06015999999363,111.6164896904017,126.23872,399250.75968,399124.52096,0.0,1.8607116552997358
microVoSTN_R_2-3+,3,2.0887188151335656,478.0121492436975,267.4278400000003,637.6166911236943,154.46016,398338.58048,398184.12032,0.0,2.2467708925967314
microVoSTN_R_2-3+,4,3.2683190092917305,305.6982694478528,197.3247999999985,324.07743141748097,160.72704,398791.2704,398630.54335999995,0.0,1.5317303397797857
microVoSTN_R_4-5+,0,0.9416765881177707,1060.4112554666667,612.1881600000197,1188.5604666248241,45.71136,397699.93216,397654.2208,0.0,1.4370446815075995
microVoSTN_R_4-5+,2,1.9835315366736022,499.961022300885,303.4316800000379,517.8215656787983,1152.98304,396622.15168,395469.16864,0.0,1.7825903311864182
microVoSTN_R_4-6+,0,2.684780059740027,371.93836997198883,244.94080000001122,407.566154117187,474.48064,398820.47488,398345.99423999997,0.0,1.5507068254720704
microVoSTN_R_4-6+,1,3.396046418850258,294.3571204723247,174.89919999998529,327.3936525682518,220.3648,399074.26304,398853.89824,0.0,1.64302492358307
