Electrode,Cluster,Spike_ms,IsBurst,BurstIndex
microGPi1_L_1_CommonFiltered,0,183162.10176,False,-1
microGPi1_L_1_CommonFiltered,0,186638.29504,False,-1
microGPi1_L_1_CommonFiltered,0,187789.39392,False,-1
microGPi1_L_1_CommonFiltered,0,187927.38816,False,-1
microGPi1_L_1_CommonFiltered,0,188780.70784,False,-1
microGPi1_L_1_CommonFiltered,0,189265.14176,False,-1
microGPi1_L_1_CommonFiltered,0,189871.34976,False,-1
microGPi1_L_1_CommonFiltered,0,190151.02464,False,-1
microGPi1_L_1_CommonFiltered,0,190185.55392,False,-1
microGPi1_L_1_CommonFiltered,0,191778.16064,False,-1
microGPi1_L_1_CommonFiltered,0,192844.14464,False,-1
microGPi1_L_1_CommonFiltered,0,193290.60864,False,-1
microGPi1_L_1_CommonFiltered,0,193505.93536,False,-1
microGPi1_L_1_CommonFiltered,0,193936.46592,False,-1
microGPi1_L_1_CommonFiltered,0,194101.00224,False,-1
microGPi1_L_1_CommonFiltered,0,194273.0752,False,-1
microGPi1_L_1_CommonFiltered,0,194445.63968,False,-1
microGPi1_L_1_CommonFiltered,0,194652.93824,False,-1
microGPi1_L_1_CommonFiltered,0,194761.40032,False,-1
microGPi1_L_1_CommonFiltered,0,197330.65728,False,-1
microGPi1_L_1_CommonFiltered,0,197707.44832,False,-1
microGPi1_L_1_CommonFiltered,0,197717.48352,False,-1
microGPi1_L_1_CommonFiltered,0,198088.99072,False,-1
microGPi1_L_1_CommonFiltered,0,198163.74272,False,-1
microGPi1_L_1_CommonFiltered,0,198338.88768,False,-1
microGPi1_L_1_CommonFiltered,0,198644.3264,False,-1
microGPi1_L_1_CommonFiltered,0,199869.0304,False,-1
microGPi1_L_1_CommonFiltered,0,200139.73504,False,-1
microGPi1_L_1_CommonFiltered,0,200375.78752,False,-1
microGPi1_L_1_CommonFiltered,0,201178.19392,False,-1
microGPi1_L_1_CommonFiltered,0,201741.7216,False,-1
microGPi1_L_1_CommonFiltered,0,201817.33376,False,-1
microGPi1_L_1_CommonFiltered,0,202376.06912,False,-1
microGPi1_L_1_CommonFiltered,0,203410.96448,False,-1
microGPi1_L_1_CommonFiltered,0,204540.76416,False,-1
microGPi1_L_1_CommonFiltered,0,205506.27328,False,-1
microGPi1_L_1_CommonFiltered,0,207080.07936,False,-1
microGPi1_L_1_CommonFiltered,0,207172.15744,False,-1
microGPi1_L_1_CommonFiltered,0,207409.84832,False,-1
microGPi1_L_1_CommonFiltered,0,210037.39136,False,-1
microGPi1_L_1_CommonFiltered,0,210241.49504,False,-1
microGPi1_L_1_CommonFiltered,0,210588.50816,False,-1
microGPi1_L_1_CommonFiltered,0,210887.4752,False,-1
microGPi1_L_1_CommonFiltered,0,211109.72416,False,-1
microGPi1_L_1_CommonFiltered,0,211126.0672,False,-1
microGPi1_L_1_CommonFiltered,0,211604.80768,False,-1
microGPi1_L_1_CommonFiltered,0,211668.86912,False,-1
microGPi1_L_1_CommonFiltered,0,212091.0848,False,-1
microGPi1_L_1_CommonFiltered,0,212605.21472,False,-1
microGPi1_L_1_CommonFiltered,0,213170.74944,False,-1
microGPi1_L_1_CommonFiltered,0,213852.81536,False,-1
microGPi1_L_1_CommonFiltered,0,214361.57952,False,-1
microGPi1_L_1_CommonFiltered,0,214591.16032,False,-1
microGPi1_L_1_CommonFiltered,0,214920.3968,False,-1
microGPi1_L_1_CommonFiltered,0,215044.01408,False,-1
microGPi1_L_1_CommonFiltered,0,215950.29504,False,-1
microGPi1_L_1_CommonFiltered,0,216349.32736,False,-1
microGPi1_L_1_CommonFiltered,0,216548.88448,False,-1
microGPi1_L_1_CommonFiltered,0,217653.12512,False,-1
microGPi1_L_1_CommonFiltered,0,218071.4496,False,-1
microGPi1_L_1_CommonFiltered,0,218230.90688,False,-1
microGPi1_L_1_CommonFiltered,0,218591.92832,False,-1
microGPi1_L_1_CommonFiltered,0,219059.6096,False,-1
microGPi1_L_1_CommonFiltered,0,219692.4416,False,-1
microGPi1_L_1_CommonFiltered,0,219879.91552,False,-1
microGPi1_L_1_CommonFiltered,0,221554.93376,False,-1
microGPi1_L_1_CommonFiltered,0,221622.84544,False,-1
microGPi1_L_1_CommonFiltered,0,221710.9504,False,-1
microGPi1_L_1_CommonFiltered,0,222834.0736,False,-1
microGPi1_L_1_CommonFiltered,0,222878.43328,False,-1
microGPi1_L_1_CommonFiltered,0,223391.82592,False,-1
microGPi1_L_1_CommonFiltered,0,223422.38208,False,-1
microGPi1_L_1_CommonFiltered,0,223678.99648,False,-1
microGPi1_L_1_CommonFiltered,0,224127.71328,False,-1
microGPi1_L_1_CommonFiltered,0,224741.25312,False,-1
microGPi1_L_1_CommonFiltered,0,224777.8304,False,-1
microGPi1_L_1_CommonFiltered,0,225287.5776,False,-1
microGPi1_L_1_CommonFiltered,0,225353.89184,False,-1
microGPi1_L_1_CommonFiltered,0,226586.70592,False,-1
microGPi1_L_1_CommonFiltered,0,227539.84512,False,-1
microGPi1_L_1_CommonFiltered,0,228872.31488,False,-1
microGPi1_L_1_CommonFiltered,0,230637.9776,False,-1
microGPi1_L_1_CommonFiltered,0,231024.55808,False,-1
microGPi1_L_1_CommonFiltered,0,231365.91872,False,-1
microGPi1_L_1_CommonFiltered,0,231654.8096,False,-1
microGPi1_L_1_CommonFiltered,0,232211.8656,False,-1
microGPi1_L_1_CommonFiltered,0,232458.4448,False,-1
microGPi1_L_1_CommonFiltered,0,232869.19168,False,-1
microGPi1_L_1_CommonFiltered,0,233883.68896,False,-1
microGPi1_L_1_CommonFiltered,0,234255.03232,False,-1
microGPi1_L_1_CommonFiltered,0,234769.16224,False,-1
microGPi1_L_1_CommonFiltered,0,235644.27264,False,-1
microGPi1_L_1_CommonFiltered,0,236168.02816,False,-1
microGPi1_L_1_CommonFiltered,0,236625.34656,False,-1
microGPi1_L_1_CommonFiltered,0,237285.376,False,-1
microGPi1_L_1_CommonFiltered,0,237299.95776,False,-1
microGPi1_L_1_CommonFiltered,0,237319.45472,False,-1
microGPi1_L_1_CommonFiltered,0,237374.75072,False,-1
microGPi1_L_1_CommonFiltered,0,237529.86624,False,-1
microGPi1_L_1_CommonFiltered,0,237797.21216,False,-1
microGPi1_L_1_CommonFiltered,0,238040.59648,False,-1
microGPi1_L_1_CommonFiltered,0,238658.02752,False,-1
microGPi1_L_1_CommonFiltered,0,239885.7216,False,-1
microGPi1_L_1_CommonFiltered,0,240284.99968,False,-1
microGPi1_L_1_CommonFiltered,0,240701.6448,False,-1
microGPi1_L_1_CommonFiltered,0,241357.2096,False,-1
microGPi1_L_1_CommonFiltered,0,242143.31392,False,-1
microGPi1_L_1_CommonFiltered,0,242967.83872,False,-1
