Electrode,Cluster,Start_ms,End_ms,Duration_ms,Num_Spikes,RS,Method
microVIM_L_3_CommonFiltered,2,179504.37376,181061.38624,1557.0124800000049,14,6.496665412204687,RankSurprise
microVIM_L_3_CommonFiltered,2,184768.67584,184949.63712,180.96127999998862,6,8.109230130288296,RankSurprise
microVIM_L_3_CommonFiltered,2,189454.7456,189685.02272,230.27712000001338,5,4.968180955171441,RankSurprise
microVIM_L_3_CommonFiltered,2,191267.51232,191549.44,281.9276799999934,8,10.198862748663835,RankSurprise
microVIM_L_3_CommonFiltered,2,192455.4752,192532.35712,76.88192000001436,3,3.681517096842388,RankSurprise
microVIM_L_3_CommonFiltered,2,207161.71264,207238.59456,76.88191999998526,3,3.7106616072659175,RankSurprise
microVIM_L_3_CommonFiltered,2,214288.34304,214352.52736,64.1843200000003,3,4.189321425597361,RankSurprise
microVIM_L_3_CommonFiltered,2,233996.04224,234696.54016,700.4979199999943,8,3.8815523687610614,RankSurprise
microVIM_L_3_CommonFiltered,2,244695.08096,244714.53696,19.456000000005588,3,6.655666357310251,RankSurprise
microVIM_L_3_CommonFiltered,2,278466.43712,278519.02976,52.59263999998802,3,4.579301741134895,RankSurprise
microVIM_L_3_CommonFiltered,2,296238.6944,296428.83072,190.13632000004873,5,5.665596185726777,RankSurprise
microVIM_L_3_CommonFiltered,2,316706.65216,316774.35904,67.70688000001246,3,3.977201243143888,RankSurprise
microVIM_L_3_CommonFiltered,2,325406.59712,326642.56512,1235.9679999999935,11,4.108547262056317,RankSurprise
microVIM_L_3_CommonFiltered,2,329506.32448,330831.99488,1325.6704000000027,14,6.52191978217916,RankSurprise
microVIM_L_3_CommonFiltered,2,331354.19392,331544.20736,190.01344000000972,5,5.683778087388898,RankSurprise
microVIM_L_3_CommonFiltered,2,346621.5424,348493.70112,1872.1587200000067,16,5.1574694517936095,RankSurprise
microVIM_L_3_CommonFiltered,2,349538.9184,350224.22016,685.3017600000021,9,6.190169865047872,RankSurprise
microVIM_L_3_CommonFiltered,2,352603.3408,353112.064,508.72320000000764,6,3.5211463261017935,RankSurprise
microVIM_L_3_CommonFiltered,2,354073.1904,354158.67392,85.48351999995066,3,3.562183092391127,RankSurprise
microVIM_L_3_CommonFiltered,2,356643.67616,356785.80736,142.13120000000345,4,4.54550988317893,RankSurprise
microVIM_L_3_CommonFiltered,2,357957.2224,358215.92576,258.70335999998497,7,8.439970135347863,RankSurprise
microVIM_L_3_CommonFiltered,2,361617.24416,361955.49184,338.2476799999713,6,4.990421716094396,RankSurprise
microVIM_L_3_CommonFiltered,2,366703.90272,368146.75968,1442.8569600000046,12,3.999282112136947,RankSurprise
microVIM_L_3_CommonFiltered,2,377253.72416,377327.616,73.89183999999659,3,3.732802130146661,RankSurprise
microVIM_L_3_CommonFiltered,2,392898.51904,393933.66016,1035.1411200000439,11,5.199004625492814,RankSurprise
microVIM_L_3_CommonFiltered,2,401560.82176,402175.7952,614.9734399999725,7,4.042625830846332,RankSurprise
microVIM_L_3_CommonFiltered,2,410516.60288,411056.3328,539.7299199999543,7,4.599343414113421,RankSurprise
microVIM_L_3_CommonFiltered,2,412074.63936,413059.85024,985.2108800000278,11,5.382374812732649,RankSurprise
microVIM_L_3_CommonFiltered,3,3356.8768,3389.19424,32.317439999999806,3,4.436516843395427,RankSurprise
microVIM_L_3_CommonFiltered,3,11714.47808,11931.56608,217.08799999999974,6,4.6081956187250555,RankSurprise
microVIM_L_3_CommonFiltered,3,16704.26624,16717.66016,13.393919999998616,3,6.451277423940299,RankSurprise
microVIM_L_3_CommonFiltered,3,18642.1248,19085.1072,442.98239999999714,10,6.261043950375014,RankSurprise
microVIM_L_3_CommonFiltered,3,19621.19168,19705.69216,84.50047999999879,4,4.410495421249156,RankSurprise
microVIM_L_3_CommonFiltered,3,32027.56608,32062.34112,34.775040000000445,3,4.248419028885824,RankSurprise
microVIM_L_3_CommonFiltered,3,38340.52608,38362.112,21.585919999997714,3,5.283207101136057,RankSurprise
microVIM_L_3_CommonFiltered,3,45708.86144,45952.6144,243.75295999999798,7,6.0187853893237735,RankSurprise
microVIM_L_3_CommonFiltered,3,52467.712,52522.72128,55.0092799999984,4,5.796765915920076,RankSurprise
microVIM_L_3_CommonFiltered,3,55031.35744,55351.25504,319.8975999999966,9,7.813920401056052,RankSurprise
microVIM_L_3_CommonFiltered,3,55963.52512,56005.87776,42.35264000000461,3,3.8435101030728696,RankSurprise
microVIM_L_3_CommonFiltered,3,60552.6016,60767.232,214.63040000000183,10,12.674713279574235,RankSurprise
microVIM_L_3_CommonFiltered,3,62254.16192,62524.2112,270.04927999999927,9,8.701259135111608,RankSurprise
microVIM_L_3_CommonFiltered,3,64621.48608,65218.06848,596.5823999999993,13,9.264690469831741,RankSurprise
microVIM_L_3_CommonFiltered,3,69537.25952,69672.96,135.70047999999952,5,4.878926946016229,RankSurprise
microVIM_L_3_CommonFiltered,3,81002.86464,81049.76384,46.89919999999984,3,3.6934947527969726,RankSurprise
microVIM_L_3_CommonFiltered,3,83961.52832,84036.608,75.07967999999528,4,4.8106035722285405,RankSurprise
microVIM_L_3_CommonFiltered,3,97414.06208,97873.26464,459.2025599999906,12,9.528658639006268,RankSurprise
microVIM_L_3_CommonFiltered,3,104238.36672,104432.92672,194.55999999999767,5,3.7973451159747817,RankSurprise
microVIM_L_3_CommonFiltered,3,110343.24992,110388.67456,45.42463999999745,3,3.7670962179931102,RankSurprise
microVIM_L_3_CommonFiltered,3,122655.82592,122762.0352,106.20927999999549,6,8.21309017837298,RankSurprise
microVIM_L_3_CommonFiltered,3,126903.37792,127093.39136,190.01343999999517,7,7.057257935444213,RankSurprise
microVIM_L_3_CommonFiltered,3,130336.60416,130814.7712,478.16704000000027,8,3.651807952023407,RankSurprise
microVIM_L_3_CommonFiltered,3,137278.2592,137421.37344,143.11423999999533,5,4.669765782330366,RankSurprise
microVIM_L_3_CommonFiltered,3,140229.38624,140273.62304,44.23680000001332,4,6.445996231615759,RankSurprise
microVIM_L_3_CommonFiltered,3,145524.1216,145569.42336,45.301759999973,3,3.697750078367111,RankSurprise
microVIM_L_3_CommonFiltered,3,146112.06144,146227.4048,115.34335999999894,4,3.598100891408116,RankSurprise
microVIM_L_3_CommonFiltered,3,148190.12608,148379.40224,189.27616000000853,5,3.6113153090374155,RankSurprise
microVIM_L_3_CommonFiltered,3,158687.72352,158763.2128,75.48928000000888,5,7.133748325710215,RankSurprise
